index,date,cost,quan,tally_q,tally_c,date_s,proceeds,tally_q2,tally_c2,sold,tally_s,remain,,,
73,4/27/23,544.5,100,100,544.5,6/2/2023,453.98,36950,207175.24,1100,36950,0,,,
72,3/3/23,605.17,100,200,1149.67,6/2/2023,453.98,36850,206630.74,0,0,0,,,
71,3/3/23,2298.31,400,600,3447.98,6/2/2023,1815.93,36750,206025.57,0,0,0,,,
70,3/3/23,2422.31,400,1000,5870.29,6/2/2023,1815.93,36350,203727.26,0,0,0,,,
69,3/3/23,618.08,100,1100,6488.37,6/2/2023,453.98,35950,201304.95,0,0,0,,,
68,3/3/23,2127.75,400,1500,8616.12,5/30/2023,1833.04,35850,200686.87,1000,35850,0,,,
67,3/3/23,2251.76,400,1900,10867.88,5/30/2023,1833.05,35450,198559.12,0,0,0,,,
66,3/3/23,575.44,100,2000,11443.32,5/30/2023,458.26,35050,196307.36,0,0,0,,,
65,3/3/23,562.53,100,2100,12005.85,5/30/2023,458.26,34950,195731.92,5000,34850,100,,,
64,3/3/23,2069.44,400,2500,14075.29,4/20/2023,1995.68,34850,195169.39,0,0,0,,,
63,3/3/23,516.95,100,2600,14592.24,4/20/2023,498.92,34450,193099.95,0,0,0,,,
62,3/3/23,3600.03,810,3410,18192.27,4/20/2023,4013.4,34350,192583,0,0,0,,,
61,3/3/23,844.45,190,3600,19036.72,4/20/2023,944.26,33540,188982.97,0,0,0,,,
60,3/3/23,2649.3,500,4100,21686.02,4/20/2023,2494.61,33350,188138.52,0,0,0,,,
59,3/3/23,4722.29,1000,5100,26408.31,4/20/2023,4989.22,32850,185489.22,0,0,0,,,
58,3/3/23,4739.7,1000,6100,31148.01,4/20/2023,4989.21,31850,180766.93,0,0,0,,,
57,3/3/23,3610.07,810,6910,34758.08,4/20/2023,4005.29,30850,176027.23,0,0,0,,,
56,3/3/23,4951.69,1000,7910,39709.77,4/20/2023,4914.81,30040,172417.16,2000,29850,190,,,
55,3/3/23,846.81,190,8100,40556.58,4/20/2023,941.41,29040,167465.47,0,0,0,,,
54,3/3/23,4939.3,1000,9100,45495.88,4/6/2023,4914.82,28850,166618.66,0,0,0,,,
53,3/3/23,12374.2,2000,11100,57870.08,3/8/2023,11509.61,27850,161679.36,6000,27850,0,,,
52,3/3/23,678.93,100,11200,58549.01,3/8/2023,584.48,25850,149305.16,0,0,0,,,
51,3/3/23,2717.36,400,11600,61266.37,3/8/2023,2337.92,25750,148626.23,0,0,0,,,
50,3/3/23,19767.3,3000,14600,81033.67,3/8/2023,17834.41,25350,145908.87,0,0,0,,,
49,3/3/23,3396.7,500,15100,84430.37,3/8/2023,2859.9,22350,126141.57,0,0,0,,,
48,3/3/23,13178.2,2000,17100,97608.57,3/3/2023,13102.2,21850,122744.87,3000,21850,0,,,
47,3/3/23,6485,1000,18100,104093.57,3/3/2023,6551.1,19850,109566.67,0,0,0,,,
46,2/15/23,5497.12,1150,19250,109590.69,2/27/2023,7751.69,18850,103081.67,5850,18850,0,,,
45,2/15/23,4780.1,1000,20250,114370.79,2/27/2023,7815.78,17700,97584.55,0,0,0,,,
44,2/15/23,8843.18,1850,22100,123213.97,2/27/2023,14031.86,16700,92804.45,0,0,0,,,
43,2/13/23,9420,2000,24100,132633.97,2/22/2023,13229.41,14850,83961.27,6000,13000,1850,,,
42,2/13/23,13952.32,2950,27050,146586.29,2/22/2023,19513.37,12850,74541.27,0,0,0,,,
41,2/13/23,236.48,50,27100,146822.77,2/27/2023,337.03,9900,60588.95,0,0,0,,,
40,2/13/23,1415.01,300,27400,148237.78,2/27/2023,2022.18,9850,60352.47,0,0,0,,,
