index,date,cost,quan,tally_q,tally_c,date_s,proceeds,tally_q2,tally_c2,sold,tally_s,
1,11/30/2022,1827.03,250,250,1827.03,1/27/2023,1378.03,250,1827.03,0,0,
2,11/30/2022,499.59,100,350,2326.62,2/3/2023,585.47,36700,205348.21,0,0,
3,11/30/2022,652.92,100,450,2979.54,2/3/2023,625.47,36600,204848.62,0,0,
4,11/30/2022,742.1,100,550,3721.64,2/3/2023,667.98,36500,204195.7,0,0,
5,11/30/2022,365.4,50,600,4087.04,2/3/2023,333.99,36400,203453.6,0,0,
6,11/30/2022,1113.15,150,750,5200.19,2/3/2023,938.2,36350,203088.2,0,0,
7,11/30/2022,640.57,100,850,5840.76,2/3/2023,618.98,36200,201975.05,0,0,
8,11/30/2022,320.81,50,900,6161.57,2/3/2023,309.49,36100,201334.48,0,0,
9,11/30/2022,551.39,100,1000,6712.96,2/3/2023,618.98,36050,201013.67,0,1000,
10,1/27/2023,4453.49,850,1850,11166.45,2/21/2023,4976.5,35950,200462.28,0,0,
11,11/30/2022,264.8,50,1900,11431.25,2/21/2023,330.74,35100,196008.79,0,0,
12,11/30/2022,273.29,50,1950,11704.54,2/21/2023,292.74,35050,195743.99,0,0,
13,11/30/2022,320.29,50,2000,12024.83,2/21/2023,292.74,35000,195470.7,0,0,
14,11/15/2022,4068.9,500,2500,16093.73,1/27/2023,2756.06,34950,195150.41,0,0,
15,11/15/2022,3171.79,500,3000,19265.52,2/3/2023,3094.9,34450,191081.51,0,0,
16,11/15/2022,3679.44,500,3500,22944.96,2/3/2023,3127.35,33950,187909.72,0,0,
17,11/15/2022,4125.34,500,4000,27070.3,2/3/2023,3339.9,33450,184230.28,0,4000,
18,11/15/2022,2466.89,500,4500,29537.19,2/21/2023,2927.36,32950,180104.94,0,0,
19,9/15/2022,503.42,50,4550,30040.61,1/27/2023,275.61,32450,177638.05,0,0,
20,9/15/2022,1989.98,200,4750,32030.59,1/27/2023,1102.42,32400,177134.63,0,0,
21,9/15/2022,464.47,50,4800,32495.06,2/3/2023,312.74,32200,175144.65,0,0,
22,9/15/2022,509.06,50,4850,33004.12,2/3/2023,333.99,32150,174680.18,0,0,
23,9/15/2022,917.1,100,4950,33921.22,2/3/2023,668.47,32100,174171.12,0,0,
24,9/15/2022,725.9,100,5050,34647.12,2/3/2023,618.98,32000,173254.02,0,0,
25,9/15/2022,772.57,100,5150,35419.69,2/3/2023,625.47,31900,172528.12,0,0,
26,9/15/2022,917.1,100,5250,36336.79,2/3/2023,625.47,31800,171755.55,0,0,
